"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADMSAdministrativeUnitMember","AzureAD","Get-MgDirectoryAdministrativeUnitMember","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All;AdministrativeUnit.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /directory/administrativeUnits/{administrativeUnit-id}/members","True","False"
"Get-AzureADApplicationExtensionProperty","AzureAD","Get-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All","GET /applications/{application-id}/extensionProperties","True","False"
"Remove-AzureADTrustedCertificateAuthority","AzureAD","","","","","False","False"
"Remove-AzureADMSApplicationExtensionProperty","AzureAD","Remove-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","DELETE /applications/{application-id}/extensionProperties/{extensionProperty-id}","True","False"
"Remove-AzureADServicePrincipalOwner","AzureAD","Remove-MgServicePrincipalOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","DELETE /servicePrincipals/{servicePrincipal-id}/owners/{directoryObject-id}/$ref","True","False"
"Set-AzureADMSAuthorizationPolicy","AzureAD","Update-MgPolicyAuthorizationPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.Authorization","PATCH /policies/authorizationPolicy","True","False"
"Get-MsolCompanyInformation","MSOnline","Get-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.Read.All;DeviceManagementConfiguration.ReadWrite.All;DeviceManagementServiceConfig.Read.All;DeviceManagementServiceConfig.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All;Organization.Read.All;Organization.ReadWrite.All;User.Read","GET /organization","True","False"
"Get-MsolDomainVerificationDns","MSOnline","Get-MgDomainVerificationDnsRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All;Domain.ReadWrite.All","GET /domains/{domain-id}/verificationDnsRecords","True","False"
"New-AzureADServicePrincipalKeyCredential","AzureAD","Add-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /servicePrincipals/{servicePrincipal-id}/addKey","True","False"
"Get-MsolDomainFederationSettings","MSOnline","Get-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","","GET /domains/{domain-id}/federationConfiguration","True","False"
"Add-AzureADMSLifecyclePolicyGroup","AzureAD","New-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","POST /groupLifecyclePolicies","True","False"
"Set-MsolUserPrincipalName","MSOnline","Update-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All;DeviceManagementConfiguration.ReadWrite.All;DeviceManagementManagedDevices.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;Directory.ReadWrite.All;User.ManageIdentities.All;User.ReadWrite;User.ReadWrite.All","PATCH /users/{user-id}","True","False"
"Remove-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Remove-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Policy.ReadWrite.PermissionGrant","DELETE /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications/{delegatedPermissionClassification-id}","True","False"
"Confirm-AzureADDomain","AzureAD","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains/{domain-id}/verify","True","False"
"Get-AzureADDeletedApplication","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","","GET /directory/deletedItems","True","False"
