"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"New-AzureADUser","AzureAD","New-MgUser","","AccountEnabled","AccountEnabled","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","AgeGroup","AgeGroup","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","City","City","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","CompanyName","CompanyName","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","ConsentProvidedForMinor","ConsentProvidedForMinor","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","Country","Country","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","CreationType","CreationType","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","Department","Department","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","DisplayName","DisplayName","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","FacsimileTelephoneNumber","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","GivenName","GivenName","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","IsCompromised","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","ImmutableId","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","JobTitle","JobTitle","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","MailNickName","MailNickName","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","Mobile","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","OtherMails","OtherMails","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","PasswordPolicies","PasswordPolicies","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","PasswordProfile","PasswordProfile","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","PhysicalDeliveryOfficeName","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","PostalCode","PostalCode","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","PreferredLanguage","PreferredLanguage","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","ShowInAddressList","ShowInAddressList","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","SignInNames","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","State","State","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","StreetAddress","StreetAddress","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","Surname","Surname","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","TelephoneNumber","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","UsageLocation","UsageLocation","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","UserPrincipalName","UserPrincipalName","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","UserState","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","UserStateChangedOn","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","UserType","UserType","","","False","False"
"Get-AzureADServicePrincipalOAuth2PermissionGrant","AzureAD","Get-MgServicePrincipalOauth2PermissionGrant","","ObjectId","","","","False","False"
"Get-AzureADServicePrincipalOAuth2PermissionGrant","AzureAD","Get-MgServicePrincipalOauth2PermissionGrant","","All","All","","","False","False"
"Get-AzureADServicePrincipalOAuth2PermissionGrant","AzureAD","Get-MgServicePrincipalOauth2PermissionGrant","","Top","Top","","","False","False"
"New-AzureADMSApplicationPassword","AzureAD","Add-MgApplicationPassword","","ObjectId","","","","False","False"
"New-AzureADMSApplicationPassword","AzureAD","Add-MgApplicationPassword","","PasswordCredential","PasswordCredential","","","False","False"
"Get-MsolRole","MSOnline","Get-MgDirectoryRole","","ObjectId","","","","False","False"
"Get-MsolRole","MSOnline","Get-MgDirectoryRole","","RoleName","","","","False","False"
"Get-MsolRole","MSOnline","Get-MgDirectoryRole","","TenantId","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","ObjectId","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","ServicePrincipalName","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","AppPrincipalId","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","Type","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","Value","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","StartDate","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","EndDate","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","Usage","","","","False","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","","TenantId","","","","False","False"
"Remove-AzureADDirectoryRoleMember","AzureAD","Remove-MgDirectoryRoleScopedMember","","ObjectId","","","","False","False"
"Remove-AzureADDirectoryRoleMember","AzureAD","Remove-MgDirectoryRoleScopedMember","","MemberId","","","","False","False"
"Get-AzureADServicePrincipalPasswordCredential","AzureAD","Get-MgServicePrincipal","","ObjectId","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","AzureEnvironmentName","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","TenantId","TenantId","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","Credential","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","CertificateThumbprint","CertificateThumbprint","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","ApplicationId","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","AadAccessToken","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","MsAccessToken","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","AccountId","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","LogLevel","","","","False","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","","LogFilePath","","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","PolicyId","","","","False","False"
